Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
LED49,LED_ABGR,MHT151RGBCT-RGB-Reverse-Mount-1206-2,-42.00525,-163.322,0,bottom
LED50,LED_ABGR,MHT151RGBCT-RGB-Reverse-Mount-1206-2,-65.786,-163.322,0,bottom
LED51,LED_ABGR,MHT151RGBCT-RGB-Reverse-Mount-1206-2,-89.56675,-163.322,0,bottom
LED52,LED_ABGR,MHT151RGBCT-RGB-Reverse-Mount-1206-2,-127.66675,-163.322,0,bottom
LED53,LED_ABGR,MHT151RGBCT-RGB-Reverse-Mount-1206-2,-149.1,-144.272,0,bottom
LED54,LED_ABGR,MHT151RGBCT-RGB-Reverse-Mount-1206-2,-206.248,-144.272,0,bottom
LED55,LED_ABGR,MHT151RGBCT-RGB-Reverse-Mount-1206-2,-180.086,-163.322,0,bottom
LED56,LED_ABGR,MHT151RGBCT-RGB-Reverse-Mount-1206-2,-218.186,-163.322,0,bottom
LED57,LED_ABGR,MHT151RGBCT-RGB-Reverse-Mount-1206-2,-225.298,-144.272,0,bottom
LED58,LED_ABGR,MHT151RGBCT-RGB-Reverse-Mount-1206-2,-241.96675,-163.322,0,bottom
LED59,LED_ABGR,MHT151RGBCT-RGB-Reverse-Mount-1206-2,-265.84275,-163.322,0,bottom
LED60,LED_ABGR,MHT151RGBCT-RGB-Reverse-Mount-1206-2,-287.274,-163.322,0,bottom
LED61,LED_ABGR,MHT151RGBCT-RGB-Reverse-Mount-1206-2,-325.374,-163.322,0,bottom
LED62,LED_ABGR,MHT151RGBCT-RGB-Reverse-Mount-1206-2,-344.424,-163.322,0,bottom
LED63,LED_ABGR,MHT151RGBCT-RGB-Reverse-Mount-1206-2,-363.474,-163.322,0,bottom
LED64,LED_ABGR,MHT151RGBCT-RGB-Reverse-Mount-1206-2,-382.524,-163.322,0,bottom
R1,27.4,R_0402_1005Metric,-302.476,-128.585,-90,bottom
R2,27.4,R_0402_1005Metric,-301.46,-128.5824,-90,bottom
R3,1k,R_0402_1005Metric,-301.15,-142.7,90,bottom
R4,2k,R_0402_1005Metric,-309.160002,-140.45,0,bottom
R5,2k,R_0402_1005Metric,-309.160002,-141.8,0,bottom
R6,1k,R_0402_1005Metric,-272.6,-125.8,90,bottom
R7,1k,R_0402_1005Metric,-272.6,-127.75,-90,bottom
R8,100k,R_0402_1005Metric,-270.475,-129.775,180,bottom
R9,20k,R_0402_1005Metric,-270,-121.4,0,bottom
R10,1k,R_0402_1005Metric,-304.7,-141.3,90,bottom
R11,1k,R_0402_1005Metric,-313.965,-122.424,180,bottom
R12,DNF,R_0402_1005Metric,-313.965,-123.424,0,bottom
SW66,SW_Push,SW_SPST_B3U-1000P,-303.8475,-149.6,180,bottom
SW67,SW_Push,SW_SPST_B3U-1000P,-308.8005,-149.6,0,bottom
U1,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,-303.492,-134.709,180,bottom
U2,IS31FL3733-QF,QFN-48-1EP_6x6mm_P0.4mm_EP4.2x4.2mm,-267.05,-125.6,90,bottom
U3,W25Q128JVS,SOIC-8_5.23x5.23mm_P1.27mm,-310.225,-126.9,180,bottom
U5,NCP1117-3.3_SOT223,SOT-223-3_TabPin2,-297.1,-121.8,-90,bottom
Y1,12MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,-306.5,-144.45,45,bottom
,,,,,,
SW1,ESC,MXOnly-1U-Hotswap,39.624,-101.092,0,top
SW2,TAB,MXOnly-1.25U-Hotswap,42.00525,-120.142,0,top
SW3,L_SHIFT,MXOnly-1.75U-Hotswap,46.76775,-139.192,0,top
SW4,L_CTRL,MXOnly-1.25U-Hotswap,42.00525,-158.242,0,top
SW5,Q,MXOnly-1U-Hotswap,58.674,-101.092,0,top
SW6,A,MXOnly-1U-Hotswap,63.5,-120.142,0,top
SW7,Z,MXOnly-1U-Hotswap,72.898,-139.192,0,top
SW8,L_ALT,MXOnly-1.25U-Hotswap,65.786,-158.242,0,top
SW9,W,MXOnly-1U-Hotswap,77.724,-101.092,0,top
SW10,S,MXOnly-1U-Hotswap,82.55,-120.142,0,top
SW11,X,MXOnly-1U-Hotswap,91.948,-139.192,0,top
SW12,L_CMD,MXOnly-1.25U-Hotswap,89.56675,-158.242,0,top
SW13,E,MXOnly-1U-Hotswap,96.774,-101.092,0,top
SW14,D,MXOnly-1U-Hotswap,101.6,-120.142,0,top
SW15,C,MXOnly-1U-Hotswap,110.998,-139.192,0,top
SW16,R,MXOnly-1U-Hotswap,115.824,-101.092,0,top
SW17,F,MXOnly-1U-Hotswap,120.65,-120.142,0,top
SW18,V,MXOnly-1U-Hotswap,130.048,-139.192,0,top
SW19,FN_1,MXOnly-2.75U-Hotswap,127.66675,-158.242,0,top
SW20,T,MXOnly-1U-Hotswap,134.874,-101.092,0,top
SW21,G,MXOnly-1U-Hotswap,139.7,-120.142,0,top
SW22,B,MXOnly-1U-Hotswap,149.098,-139.192,0,top
SW23,Y,MXOnly-1U-Hotswap,153.924,-101.092,0,top
SW24,H,MXOnly-1U-Hotswap,158.75,-120.142,0,top
SW25,N,MXOnly-1U-Hotswap,168.148,-139.192,0,top
SW26,SPACE,MXOnly-2.75U-Hotswap,180.086,-158.242,0,top
SW27,U,MXOnly-1U-Hotswap,172.974,-101.092,0,top
SW28,J,MXOnly-1U-Hotswap,177.8,-120.142,0,top
SW29,M,MXOnly-1U-Hotswap,187.198,-139.192,0,top
SW30,I,MXOnly-1U-Hotswap,192.024,-101.092,0,top
SW31,K,MXOnly-1U-Hotswap,196.85,-120.142,0,top
SW32,COMMA,MXOnly-1U-Hotswap,206.248,-139.192,0,top
SW33,R_CMD,MXOnly-1.25U-Hotswap,218.186,-158.242,0,top
SW34,O,MXOnly-1U-Hotswap,211.074,-101.092,0,top
SW35,L,MXOnly-1U-Hotswap,215.9,-120.142,0,top
SW36,PERIOD,MXOnly-1U-Hotswap,225.298,-139.192,0,top
SW37,P,MXOnly-1U-Hotswap,230.124,-101.092,0,top
SW38,SEMI_COLON,MXOnly-1U-Hotswap,234.95,-120.142,0,top
SW39,SLASH,MXOnly-1U-Hotswap,244.348,-139.192,0,top
SW40,R_ALT,MXOnly-1.25U-Hotswap,241.96675,-158.242,0,top
SW41,HYPHEN,MXOnly-1U-Hotswap,249.174,-101.092,0,top
SW42,APOSTROPHE,MXOnly-1U-Hotswap,254,-120.142,0,top
SW43,R_SHIFT,MXOnly-2.25U-Hotswap,275.36775,-139.192,0,top
SW44,R_CTRL,MXOnly-1.25U-Hotswap,265.84275,-158.242,0,top
SW45,EQUALS,MXOnly-1U-Hotswap,268.224,-101.092,0,top
SW46,RETURN,MXOnly-1.75U-Hotswap,280.13025,-120.142,0,top
SW47,FN_2,MXOnly-1U-Hotswap,287.274,-158.242,0,top
SW48,BCK_SPC,MXOnly-1U-Hotswap,287.274,-101.092,0,top
SW49,7,MXOnly-1U-Hotswap,325.374,-101.092,0,top
SW50,4,MXOnly-1U-Hotswap,325.374,-120.142,0,top
SW51,1,MXOnly-1U-Hotswap,325.374,-139.192,0,top
SW52,0,MXOnly-1U-Hotswap,325.374,-158.242,0,top
SW53,8,MXOnly-1U-Hotswap,344.424,-101.092,0,top
SW54,5,MXOnly-1U-Hotswap,344.424,-120.142,0,top
SW55,2,MXOnly-1U-Hotswap,344.424,-139.192,0,top
SW56,0,MXOnly-1U-Hotswap,344.424,-158.242,0,top
SW57,9,MXOnly-1U-Hotswap,363.474,-101.092,0,top
SW58,6,MXOnly-1U-Hotswap,363.474,-120.142,0,top
SW59,3,MXOnly-1U-Hotswap,363.474,-139.192,0,top
SW60,NUM_PER,MXOnly-1U-Hotswap,363.474,-158.242,0,top
SW61,MINUS,MXOnly-1U-Hotswap,382.524,-101.092,0,top
SW62,PLUS,MXOnly-1U-Hotswap,382.524,-120.142,0,top
SW63,ENTER,MXOnly-1U-Hotswap,382.524,-139.192,0,top
SW64,PAD_LOCK,MXOnly-1U-Hotswap,382.524,-158.242,0,top
